omega_thm,omega_Wave,A_Wave,omega_Plate,A_Plate,A_thm
12,12.03,0.59,12.00,0.64,1
12,11.91,0.69,12.04,0.64,2
12,11.88,0.75,12.06,0.73,3
12,11.96,0.74,12.01,0.70,4
12,12.07,0.76,11.81,0.69,5
12,12.00,0.84,12.06,0.73,6
12,11.80,0.81,11.88,0.71,7
12,12.00,0.90,11.98,0.71,8
12,11.90,0.81,11.89,0.71,9
12,11.77,0.91,11.95,0.73,10
10,10.20,0.77,10.00,0.85,1
10,10.10,0.96,10.06,0.92,2
10,10.01,0.88,10.04,0.92,3
10,10.07,0.86,10.05,0.90,4
10,10.10,0.90,9.99,0.91,5
10,10.07,0.97,10.14,0.82,6
10,10.09,0.97,9.99,0.94,7
10,10.05,0.87,10.00,0.97,8
10,10.15,0.75,10.10,1.03,9
10,9.84,0.83,9.99,0.95,10
9,8.95,0.83,9.00,0.91,1
9,9.02,1.02,9.00,1.10,2
9,9.00,1.06,8.98,1.07,3
9,9.02,1.08,8.99,1.06,4
9,9.15,1.05,8.93,1.18,5
9,9.28,0.99,8.95,1.02,6
9,9.17,0.95,8.91,1.29,7
9,8.94,1.20,9.00,1.35,8
9,8.94,9.00,8.99,1.08,9
9,8.94,10.00,9.00,1.17,10
7,7.16,0.51,7.00,0.96,1
7,6.99,1.03,7.00,1.78,2
7,6.86,1.13,7.00,1.87,3
7,6.99,1.01,7.00,1.90,4
7,6.89,1.13,7.00,1.78,5
7,6.85,1.12,6.99,1.84,6
7,7.06,0.97,7.00,1.80,7
7,6.89,0.93,6.99,1.78,8
7,6.91,0.95,7.00,1.73,9
7,6.90,1.21,6.98,1.87,10
6,5.93,0.43,6.00,0.96,1
6,5.96,0.96,6.00,2.54,2
6,5.97,1.25,5.99,2.61,3
6,5.94,1.17,6.01,2.59,4
6,6.03,1.17,5.94,2.52,5
6,5.73,1.03,5.99,2.37,6
6,5.77,1.09,6.00,2.39,7
6,5.76,1.04,6.00,2.65,8
6,5.94,1.40,6.04,2.30,9
6,5.79,1.24,6.05,2.56,10
4,3.908,0.2324,4,0.9566,1
4,3.984,0.5369,4,1.913,2
4,3.969,0.8479,4.001,2.856,3
4,3.982,1.169,4.001,3.795,4
4,3.978,1.456,4.001,4.744,5
4,4.082,1.567,4.001,5.313,6
4,4.025,1.672,4,5.568,7
4,4.051,1.726,4,5.662,8
4,3.86,1.548,4.001,5.677,9
4,3.784,1.423,4.001,5.681,10
